=== CUS ===
Tatal ap jobs: 127
clock 0: T3, server deadline:0
clock 64: T8, server deadline:81
clock 65: T8, server deadline:81
clock 66: T8, server deadline:81
clock 67: T8, server deadline:81
clock 68: T8, server deadline:81
clock 69: T8, server deadline:81
clock 70: T8, server deadline:81
clock 71: T8, server deadline:81
clock 72: T8, server deadline:81
clock 73: T8, server deadline:81
clock 74: T2, server deadline:81
clock 75: T3, server deadline:81
clock 76: T3, server deadline:81
clock 77: T2, server deadline:81
clock 78: T2, server deadline:81
clock 79: T2, server deadline:81
clock 80: T2, server deadline:81
For TA3, New deadline: 81 + 35 = 116
clock 81: T2, server deadline:116
clock 82: T2, server deadline:116
clock 83: TA3, server deadline:116
clock 84: TA3, server deadline:116
clock 85: TA3, server deadline:116
clock 86: TA3, server deadline:116
clock 87: TA3, server deadline:116
clock 88: TA3, server deadline:116
clock 89: TA3, server deadline:116
TA3 finishs: 32 ~ 90
Current total_response_time: 97
clock 90: T3, server deadline:116
clock 91: T3, server deadline:116
clock 92: T8, server deadline:116
clock 93: T8, server deadline:116
clock 94: T8, server deadline:116
clock 95: T8, server deadline:116
clock 96: T6, server deadline:116
clock 97: T6, server deadline:116
clock 98: T6, server deadline:116
clock 99: T6, server deadline:116
clock 100: T7, server deadline:116
clock 101: T7, server deadline:116
clock 102: T7, server deadline:116
clock 103: T7, server deadline:116
clock 104: T7, server deadline:116
clock 105: T3, server deadline:116
clock 106: T3, server deadline:116
clock 107: T8, server deadline:116
clock 108: T8, server deadline:116
clock 109: T8, server deadline:116
clock 110: T8, server deadline:116
clock 111: T8, server deadline:116
clock 112: T8, server deadline:116
clock 113: T8, server deadline:116
clock 114: T8, server deadline:116
clock 115: T8, server deadline:116
For TA4, New deadline: 116 + 20 = 136
clock 116: T8, server deadline:136
clock 117: TA4, server deadline:136
clock 118: TA4, server deadline:136
clock 119: TA4, server deadline:136
clock 120: T3, server deadline:136
clock 121: T3, server deadline:136
clock 122: TA4, server deadline:136
TA4 finishs: 41 ~ 123
Current total_response_time: 179
clock 123: T10, server deadline:136
clock 124: T10, server deadline:136
clock 125: T10, server deadline:136
clock 126: T10, server deadline:136
clock 127: T10, server deadline:136
clock 128: T10, server deadline:136
clock 129: T10, server deadline:136
clock 130: T10, server deadline:136
clock 131: T10, server deadline:136
clock 132: T10, server deadline:136
clock 133: T10, server deadline:136
clock 134: T10, server deadline:136
clock 135: T3, server deadline:136
For TA5, New deadline: 136 + 15 = 151
clock 136: T3, server deadline:151
clock 137: TA5, server deadline:151
clock 138: TA5, server deadline:151
clock 139: TA5, server deadline:151
TA5 finishs: 48 ~ 140
Current total_response_time: 271
clock 140: T10, server deadline:151
clock 141: T10, server deadline:151
clock 142: T10, server deadline:151
clock 143: T10, server deadline:151
clock 144: T6, server deadline:151
clock 145: T6, server deadline:151
clock 146: T6, server deadline:151
clock 147: T6, server deadline:151
clock 148: T2, server deadline:151
clock 149: T2, server deadline:151
clock 150: T3, server deadline:151
For TA6, New deadline: 151 + 5 = 156
clock 151: T3, server deadline:156
clock 152: TA6, server deadline:156
TA6 finishs: 54 ~ 153
Current total_response_time: 370
clock 153: T2, server deadline:156
clock 154: T2, server deadline:156
clock 155: T2, server deadline:156
For TA7, New deadline: 156 + 20 = 176
clock 156: T2, server deadline:176
clock 157: T2, server deadline:176
clock 158: TA7, server deadline:176
clock 159: TA7, server deadline:176
clock 160: TA7, server deadline:176
clock 161: TA7, server deadline:176
TA7 finishs: 68 ~ 162
Current total_response_time: 464
clock 162: T10, server deadline:176
clock 163: T10, server deadline:176
clock 164: T10, server deadline:176
clock 165: T3, server deadline:176
clock 166: T3, server deadline:176
clock 167: T10, server deadline:176
clock 168: T10, server deadline:176
clock 169: T10, server deadline:176
clock 170: T10, server deadline:176
clock 171: T10, server deadline:176
clock 172: T10, server deadline:176
clock 173: T10, server deadline:176
clock 174: T10, server deadline:176
clock 175: T10, server deadline:176
For TA8, New deadline: 176 + 25 = 201
clock 176: T10, server deadline:201
clock 177: TA8, server deadline:201
clock 178: TA8, server deadline:201
clock 179: TA8, server deadline:201
clock 180: T3, server deadline:201
clock 181: T3, server deadline:201
clock 182: TA8, server deadline:201
clock 183: TA8, server deadline:201
TA8 finishs: 80 ~ 184
Current total_response_time: 568
clock 184: T10, server deadline:201
clock 185: T4, server deadline:201
clock 186: T4, server deadline:201
clock 187: T4, server deadline:201
clock 188: T4, server deadline:201
clock 189: T4, server deadline:201
clock 190: T4, server deadline:201
clock 191: T4, server deadline:201
clock 192: T6, server deadline:201
clock 193: T6, server deadline:201
clock 194: T6, server deadline:201
clock 195: T3, server deadline:201
clock 196: T3, server deadline:201
clock 197: T6, server deadline:201
clock 198: T7, server deadline:201
clock 199: T7, server deadline:201
clock 200: T7, server deadline:201
For TA9, New deadline: 201 + 30 = 231
clock 201: T7, server deadline:231
clock 202: T7, server deadline:231
clock 203: TA9, server deadline:231
clock 204: TA9, server deadline:231
clock 205: TA9, server deadline:231
clock 206: TA9, server deadline:231
clock 207: TA9, server deadline:231
clock 208: TA9, server deadline:231
TA9 finishs: 94 ~ 209
Current total_response_time: 683
clock 209: T4, server deadline:231
clock 210: T3, server deadline:231
clock 211: T3, server deadline:231
clock 212: T4, server deadline:231
clock 213: T4, server deadline:231
clock 214: T4, server deadline:231
clock 215: T4, server deadline:231
clock 216: T4, server deadline:231
clock 217: T4, server deadline:231
clock 218: T4, server deadline:231
clock 219: T4, server deadline:231
clock 220: T4, server deadline:231
clock 221: T4, server deadline:231
clock 222: T4, server deadline:231
clock 223: T4, server deadline:231
clock 224: T5, server deadline:231
clock 225: T3, server deadline:231
clock 226: T3, server deadline:231
clock 227: T5, server deadline:231
clock 228: T5, server deadline:231
clock 229: T5, server deadline:231
clock 230: T5, server deadline:231
For TA10, New deadline: 231 + 20 = 251
clock 231: TA10, server deadline:251
clock 232: TA10, server deadline:251
clock 233: TA10, server deadline:251
clock 234: TA10, server deadline:251
TA10 finishs: 99 ~ 235
Current total_response_time: 819
clock 235: T2, server deadline:251
clock 236: T2, server deadline:251
clock 237: T2, server deadline:251
clock 238: T2, server deadline:251
clock 239: T2, server deadline:251
clock 240: T3, server deadline:251
clock 241: T3, server deadline:251
clock 242: T6, server deadline:251
clock 243: T6, server deadline:251
clock 244: T6, server deadline:251
clock 245: T6, server deadline:251
clock 246: T2, server deadline:251
clock 247: T2, server deadline:251
clock 248: T1, server deadline:251
clock 249: T1, server deadline:251
clock 250: T1, server deadline:251
For TA11, New deadline: 251 + 35 = 286
clock 251: T1, server deadline:286
clock 252: T1, server deadline:286
clock 253: T1, server deadline:286
clock 254: T1, server deadline:286
clock 255: T3, server deadline:286
clock 256: T3, server deadline:286
clock 257: TA11, server deadline:286
clock 258: TA11, server deadline:286
clock 259: TA11, server deadline:286
clock 260: TA11, server deadline:286
clock 261: TA11, server deadline:286
clock 262: TA11, server deadline:286
clock 263: TA11, server deadline:286
TA11 finishs: 112 ~ 264
Current total_response_time: 971
clock 264: T1, server deadline:286
clock 265: T1, server deadline:286
clock 266: T1, server deadline:286
clock 267: T1, server deadline:286
clock 268: T1, server deadline:286
clock 269: T1, server deadline:286
clock 270: T3, server deadline:286
clock 271: T3, server deadline:286
clock 272: T1, server deadline:286
clock 273: T1, server deadline:286
clock 274: T1, server deadline:286
clock 275: T1, server deadline:286
clock 276: T1, server deadline:286
clock 277: T1, server deadline:286
clock 278: T1, server deadline:286
clock 279: T1, server deadline:286
clock 280: T1, server deadline:286
clock 281: T1, server deadline:286
clock 282: T1, server deadline:286
clock 283: T1, server deadline:286
clock 284: T1, server deadline:286
clock 285: T3, server deadline:286
For TA12, New deadline: 286 + 25 = 311
clock 286: T3, server deadline:311
clock 287: T1, server deadline:311
clock 288: T1, server deadline:311
clock 289: T1, server deadline:311
clock 290: T1, server deadline:311
clock 291: T1, server deadline:311
clock 292: TA12, server deadline:311
clock 293: TA12, server deadline:311
clock 294: TA12, server deadline:311
clock 295: TA12, server deadline:311
clock 296: TA12, server deadline:311
TA12 finishs: 122 ~ 297
Current total_response_time: 1146
clock 297: T6, server deadline:311
clock 298: T6, server deadline:311
clock 299: T6, server deadline:311
clock 300: T3, server deadline:311
clock 301: T3, server deadline:311
clock 302: T6, server deadline:311
clock 303: T9, server deadline:311
clock 304: T9, server deadline:311
clock 305: T9, server deadline:311
clock 306: T9, server deadline:311
clock 307: T9, server deadline:311
clock 308: T9, server deadline:311
clock 309: T9, server deadline:311
clock 310: T9, server deadline:311
For TA13, New deadline: 311 + 10 = 321
clock 311: T9, server deadline:321
clock 312: T9, server deadline:321
clock 313: T9, server deadline:321
clock 314: T9, server deadline:321
clock 315: TA13, server deadline:321
clock 316: TA13, server deadline:321
TA13 finishs: 127 ~ 317
Current total_response_time: 1336
clock 317: T3, server deadline:321
clock 318: T3, server deadline:321
clock 319: T9, server deadline:321
clock 320: T9, server deadline:321
For TA14, New deadline: 321 + 35 = 356
clock 321: T9, server deadline:356
clock 322: TA14, server deadline:356
clock 323: TA14, server deadline:356
clock 324: TA14, server deadline:356
clock 325: TA14, server deadline:356
clock 326: TA14, server deadline:356
clock 327: TA14, server deadline:356
clock 328: TA14, server deadline:356
TA14 finishs: 140 ~ 329
Current total_response_time: 1525
clock 329: T2, server deadline:356
clock 330: T3, server deadline:356
clock 331: T3, server deadline:356
clock 332: T2, server deadline:356
clock 333: T2, server deadline:356
clock 334: T2, server deadline:356
clock 335: T2, server deadline:356
clock 336: T2, server deadline:356
clock 337: T2, server deadline:356
clock 338: T6, server deadline:356
clock 339: T6, server deadline:356
clock 340: T6, server deadline:356
clock 341: T6, server deadline:356
clock 342: T7, server deadline:356
clock 343: T7, server deadline:356
clock 344: T7, server deadline:356
clock 345: T3, server deadline:356
clock 346: T3, server deadline:356
clock 347: T7, server deadline:356
clock 348: T7, server deadline:356
clock 349: T8, server deadline:356
clock 350: T8, server deadline:356
clock 351: T8, server deadline:356
clock 352: T8, server deadline:356
clock 353: T8, server deadline:356
clock 354: T8, server deadline:356
clock 355: T8, server deadline:356
For TA15, New deadline: 356 + 15 = 371
clock 356: T8, server deadline:371
clock 357: T8, server deadline:371
clock 358: T8, server deadline:371
clock 359: T8, server deadline:371
clock 360: TA15, server deadline:371
clock 361: TA15, server deadline:371
clock 362: TA15, server deadline:371
TA15 finishs: 147 ~ 363
Current total_response_time: 1741
clock 363: T3, server deadline:371
clock 364: T3, server deadline:371
clock 365: T8, server deadline:371
clock 366: T8, server deadline:371
clock 367: T8, server deadline:371
clock 368: T8, server deadline:371
clock 369: T8, server deadline:371
clock 370: T8, server deadline:371
For TA16, New deadline: 371 + 20 = 391
clock 371: T8, server deadline:391
clock 372: T8, server deadline:391
clock 373: T8, server deadline:391
clock 374: T8, server deadline:391
clock 375: T3, server deadline:391
clock 376: T3, server deadline:391
clock 377: TA16, server deadline:391
clock 378: TA16, server deadline:391
clock 379: TA16, server deadline:391
clock 380: TA16, server deadline:391
TA16 finishs: 153 ~ 381
Current total_response_time: 1969
clock 381: T8, server deadline:391
clock 382: T8, server deadline:391
clock 383: T8, server deadline:391
clock 384: T6, server deadline:391
clock 385: T6, server deadline:391
clock 386: T6, server deadline:391
clock 387: T6, server deadline:391
clock 388: T5, server deadline:391
clock 389: T5, server deadline:391
clock 390: T3, server deadline:391
For TA17, New deadline: 391 + 20 = 411
clock 391: T3, server deadline:411
clock 392: TA17, server deadline:411
clock 393: TA17, server deadline:411
clock 394: TA17, server deadline:411
clock 395: TA17, server deadline:411
TA17 finishs: 163 ~ 396
Current total_response_time: 2202
clock 396: T5, server deadline:411
clock 397: T5, server deadline:411
clock 398: T5, server deadline:411
clock 399: T2, server deadline:411
clock 400: T2, server deadline:411
clock 401: T2, server deadline:411
clock 402: T2, server deadline:411
clock 403: T2, server deadline:411
clock 404: T2, server deadline:411
clock 405: T3, server deadline:411
clock 406: T3, server deadline:411
clock 407: T2, server deadline:411
clock 408: T7, server deadline:411
clock 409: T7, server deadline:411
clock 410: T7, server deadline:411
For TA18, New deadline: 411 + 10 = 421
clock 411: T7, server deadline:421
clock 412: T7, server deadline:421
clock 413: TA18, server deadline:421
clock 414: TA18, server deadline:421
TA18 finishs: 171 ~ 415
Current total_response_time: 2446
clock 415: T10, server deadline:421
clock 416: T10, server deadline:421
clock 417: T10, server deadline:421
clock 418: T10, server deadline:421
clock 419: T10, server deadline:421
clock 420: T3, server deadline:421
For TA19, New deadline: 421 + 20 = 441
clock 421: T3, server deadline:441
clock 422: TA19, server deadline:441
clock 423: TA19, server deadline:441
clock 424: TA19, server deadline:441
clock 425: TA19, server deadline:441
TA19 finishs: 177 ~ 426
Current total_response_time: 2695
clock 426: T10, server deadline:441
clock 427: T10, server deadline:441
clock 428: T10, server deadline:441
clock 429: T10, server deadline:441
clock 430: T10, server deadline:441
clock 431: T10, server deadline:441
clock 432: T6, server deadline:441
clock 433: T6, server deadline:441
clock 434: T6, server deadline:441
clock 435: T3, server deadline:441
clock 436: T3, server deadline:441
clock 437: T6, server deadline:441
clock 438: T10, server deadline:441
clock 439: T10, server deadline:441
clock 440: T10, server deadline:441
For TA20, New deadline: 441 + 35 = 476
clock 441: T10, server deadline:476
clock 442: T10, server deadline:476
clock 443: T10, server deadline:476
clock 444: TA20, server deadline:476
clock 445: TA20, server deadline:476
clock 446: TA20, server deadline:476
clock 447: TA20, server deadline:476
clock 448: TA20, server deadline:476
clock 449: TA20, server deadline:476
clock 450: T3, server deadline:476
clock 451: T3, server deadline:476
clock 452: TA20, server deadline:476
TA20 finishs: 189 ~ 453
Current total_response_time: 2959
clock 453: T10, server deadline:476
clock 454: T10, server deadline:476
clock 455: T10, server deadline:476
clock 456: T10, server deadline:476
clock 457: T10, server deadline:476
clock 458: T10, server deadline:476
clock 459: T10, server deadline:476
clock 460: T10, server deadline:476
clock 461: T10, server deadline:476
clock 462: T10, server deadline:476
clock 463: T10, server deadline:476
clock 464: T10, server deadline:476
clock 465: T3, server deadline:476
clock 466: T3, server deadline:476
clock 467: T10, server deadline:476
clock 468: T2, server deadline:476
clock 469: T2, server deadline:476
clock 470: T2, server deadline:476
clock 471: T2, server deadline:476
clock 472: T2, server deadline:476
clock 473: T2, server deadline:476
clock 474: T2, server deadline:476
clock 475: T9, server deadline:476
For TA21, New deadline: 476 + 25 = 501
clock 476: T9, server deadline:501
clock 477: TA21, server deadline:501
clock 478: TA21, server deadline:501
clock 479: TA21, server deadline:501
clock 480: T3, server deadline:501
clock 481: T3, server deadline:501
clock 482: TA21, server deadline:501
clock 483: TA21, server deadline:501
TA21 finishs: 195 ~ 484
Current total_response_time: 3248
clock 484: T6, server deadline:501
clock 485: T6, server deadline:501
clock 486: T6, server deadline:501
clock 487: T6, server deadline:501
clock 488: T9, server deadline:501
clock 489: T9, server deadline:501
clock 490: T9, server deadline:501
clock 491: T9, server deadline:501
clock 492: T9, server deadline:501
clock 493: T9, server deadline:501
clock 494: T9, server deadline:501
clock 495: T3, server deadline:501
clock 496: T3, server deadline:501
clock 497: T9, server deadline:501
clock 498: T9, server deadline:501
clock 499: T9, server deadline:501
clock 500: T9, server deadline:501
For TA22, New deadline: 501 + 30 = 531
clock 501: T9, server deadline:531
clock 502: TA22, server deadline:531
clock 503: TA22, server deadline:531
clock 504: TA22, server deadline:531
clock 505: TA22, server deadline:531
clock 506: TA22, server deadline:531
clock 507: TA22, server deadline:531
TA22 finishs: 208 ~ 508
Current total_response_time: 3548
clock 508: T9, server deadline:531
clock 509: T7, server deadline:531
clock 510: T3, server deadline:531
clock 511: T3, server deadline:531
clock 512: T7, server deadline:531
clock 513: T7, server deadline:531
clock 514: T7, server deadline:531
clock 515: T7, server deadline:531
clock 516: T4, server deadline:531
clock 517: T4, server deadline:531
clock 518: T4, server deadline:531
clock 519: T4, server deadline:531
clock 520: T4, server deadline:531
clock 521: T4, server deadline:531
clock 522: T4, server deadline:531
clock 523: T4, server deadline:531
clock 524: T4, server deadline:531
clock 525: T3, server deadline:531
clock 526: T3, server deadline:531
clock 527: T4, server deadline:531
clock 528: T6, server deadline:531
clock 529: T6, server deadline:531
clock 530: T6, server deadline:531
For TA23, New deadline: 531 + 50 = 581
clock 531: T6, server deadline:581
clock 532: T4, server deadline:581
clock 533: T4, server deadline:581
clock 534: T4, server deadline:581
clock 535: T4, server deadline:581
clock 536: T4, server deadline:581
clock 537: T4, server deadline:581
clock 538: T4, server deadline:581
clock 539: T4, server deadline:581
clock 540: T3, server deadline:581
clock 541: T3, server deadline:581
clock 542: T4, server deadline:581
clock 543: T4, server deadline:581
clock 544: T5, server deadline:581
clock 545: T5, server deadline:581
clock 546: T5, server deadline:581
clock 547: T5, server deadline:581
clock 548: T5, server deadline:581
clock 549: TA23, server deadline:581
clock 550: TA23, server deadline:581
clock 551: TA23, server deadline:581
clock 552: TA23, server deadline:581
clock 553: TA23, server deadline:581
clock 554: TA23, server deadline:581
clock 555: T3, server deadline:581
clock 556: T3, server deadline:581
clock 557: TA23, server deadline:581
clock 558: TA23, server deadline:581
clock 559: TA23, server deadline:581
clock 560: TA23, server deadline:581
TA23 finishs: 208 ~ 561
Current total_response_time: 3901
clock 561: T8, server deadline:581
clock 562: T8, server deadline:581
clock 563: T8, server deadline:581
clock 564: T8, server deadline:581
clock 565: T8, server deadline:581
clock 566: T8, server deadline:581
clock 567: T8, server deadline:581
clock 568: T8, server deadline:581
clock 569: T8, server deadline:581
clock 570: T3, server deadline:581
clock 571: T3, server deadline:581
clock 572: T8, server deadline:581
clock 573: T8, server deadline:581
clock 574: T8, server deadline:581
clock 575: T8, server deadline:581
clock 576: T8, server deadline:581
clock 577: T8, server deadline:581
clock 578: T8, server deadline:581
clock 579: T8, server deadline:581
clock 580: T8, server deadline:581
For TA24, New deadline: 581 + 30 = 611
clock 581: T8, server deadline:611
clock 582: T8, server deadline:611
clock 583: T8, server deadline:611
clock 584: T8, server deadline:611
clock 585: T8, server deadline:611
clock 586: T8, server deadline:611
clock 587: T3, server deadline:611
clock 588: T3, server deadline:611
clock 589: TA24, server deadline:611
clock 590: TA24, server deadline:611
clock 591: TA24, server deadline:611
clock 592: TA24, server deadline:611
clock 593: TA24, server deadline:611
clock 594: TA24, server deadline:611
TA24 finishs: 208 ~ 595
Current total_response_time: 4288
clock 595: T6, server deadline:611
clock 596: T6, server deadline:611
clock 597: T6, server deadline:611
clock 598: T6, server deadline:611
clock 599: T2, server deadline:611
clock 600: T3, server deadline:611
clock 601: T3, server deadline:611
clock 602: T2, server deadline:611
clock 603: T2, server deadline:611
clock 604: T2, server deadline:611
clock 605: T2, server deadline:611
clock 606: T2, server deadline:611
clock 607: T2, server deadline:611
clock 608: T7, server deadline:611
clock 609: T7, server deadline:611
clock 610: T7, server deadline:611
For TA25, New deadline: 611 + 50 = 661
clock 611: T7, server deadline:661
clock 612: T7, server deadline:661
clock 613: TA25, server deadline:661
clock 614: TA25, server deadline:661
clock 615: T3, server deadline:661
clock 616: T3, server deadline:661
clock 617: TA25, server deadline:661
clock 618: TA25, server deadline:661
clock 619: TA25, server deadline:661
clock 620: TA25, server deadline:661
clock 621: TA25, server deadline:661
clock 622: TA25, server deadline:661
clock 623: TA25, server deadline:661
clock 624: TA25, server deadline:661
TA25 finishs: 208 ~ 625
Current total_response_time: 4705
clock 625: T6, server deadline:661
clock 626: T6, server deadline:661
clock 627: T6, server deadline:661
clock 628: T6, server deadline:661
clock 629: T9, server deadline:661
clock 630: T3, server deadline:661
clock 631: T3, server deadline:661
clock 632: T9, server deadline:661
clock 633: T9, server deadline:661
clock 634: T9, server deadline:661
clock 635: T9, server deadline:661
clock 636: T9, server deadline:661
clock 637: T9, server deadline:661
clock 638: T9, server deadline:661
clock 639: T9, server deadline:661
clock 640: T9, server deadline:661
clock 641: T9, server deadline:661
clock 642: T9, server deadline:661
clock 643: T9, server deadline:661
clock 644: T9, server deadline:661
clock 645: T3, server deadline:661
clock 646: T3, server deadline:661
clock 647: T9, server deadline:661
clock 648: T5, server deadline:661
clock 649: T5, server deadline:661
clock 650: T5, server deadline:661
clock 651: T5, server deadline:661
clock 652: T5, server deadline:661
clock 653: T10, server deadline:661
clock 654: T10, server deadline:661
clock 655: T10, server deadline:661
clock 656: T10, server deadline:661
clock 657: T10, server deadline:661
clock 658: T10, server deadline:661
clock 659: T10, server deadline:661
clock 660: T3, server deadline:661
For TA26, New deadline: 661 + 30 = 691
clock 661: T3, server deadline:691
clock 662: TA26, server deadline:691
clock 663: TA26, server deadline:691
clock 664: TA26, server deadline:691
clock 665: TA26, server deadline:691
clock 666: TA26, server deadline:691
clock 667: TA26, server deadline:691
TA26 finishs: 208 ~ 668
Current total_response_time: 5165
clock 668: T10, server deadline:691
clock 669: T10, server deadline:691
clock 670: T10, server deadline:691
clock 671: T10, server deadline:691
clock 672: T6, server deadline:691
clock 673: T6, server deadline:691
clock 674: T6, server deadline:691
clock 675: T3, server deadline:691
clock 676: T3, server deadline:691
clock 677: T6, server deadline:691
clock 678: T10, server deadline:691
clock 679: T10, server deadline:691
clock 680: T10, server deadline:691
clock 681: T10, server deadline:691
clock 682: T10, server deadline:691
clock 683: T10, server deadline:691
clock 684: T10, server deadline:691
clock 685: T10, server deadline:691
clock 686: T10, server deadline:691
clock 687: T10, server deadline:691
clock 688: T10, server deadline:691
clock 689: T10, server deadline:691
clock 690: T3, server deadline:691
For TA27, New deadline: 691 + 50 = 741
clock 691: T3, server deadline:741
clock 692: T10, server deadline:741
clock 693: T10, server deadline:741
clock 694: T10, server deadline:741
clock 695: T10, server deadline:741
clock 696: T10, server deadline:741
clock 697: T10, server deadline:741
clock 698: T10, server deadline:741
clock 699: T2, server deadline:741
clock 700: T2, server deadline:741
clock 701: T2, server deadline:741
clock 702: T2, server deadline:741
clock 703: T2, server deadline:741
clock 704: T2, server deadline:741
clock 705: T3, server deadline:741
clock 706: T3, server deadline:741
clock 707: T2, server deadline:741
clock 708: TA27, server deadline:741
clock 709: TA27, server deadline:741
clock 710: TA27, server deadline:741
clock 711: TA27, server deadline:741
clock 712: TA27, server deadline:741
clock 713: TA27, server deadline:741
clock 714: TA27, server deadline:741
clock 715: TA27, server deadline:741
clock 716: TA27, server deadline:741
clock 717: TA27, server deadline:741
TA27 finishs: 208 ~ 718
Current total_response_time: 5675
clock 718: T7, server deadline:741
clock 719: T7, server deadline:741
clock 720: T3, server deadline:741
clock 721: T3, server deadline:741
clock 722: T6, server deadline:741
clock 723: T6, server deadline:741
clock 724: T6, server deadline:741
clock 725: T6, server deadline:741
clock 726: T7, server deadline:741
clock 727: T7, server deadline:741
clock 728: T7, server deadline:741
clock 729: T8, server deadline:741
clock 730: T8, server deadline:741
clock 731: T8, server deadline:741
clock 732: T8, server deadline:741
clock 733: T8, server deadline:741
clock 734: T8, server deadline:741
clock 735: T3, server deadline:741
clock 736: T3, server deadline:741
clock 737: T8, server deadline:741
clock 738: T8, server deadline:741
clock 739: T8, server deadline:741
clock 740: T8, server deadline:741
For TA28, New deadline: 741 + 30 = 771
clock 741: T8, server deadline:771
clock 742: T8, server deadline:771
clock 743: T8, server deadline:771
clock 744: T8, server deadline:771
clock 745: T8, server deadline:771
clock 746: T8, server deadline:771
clock 747: T8, server deadline:771
clock 748: T8, server deadline:771
clock 749: T8, server deadline:771
clock 750: T3, server deadline:771
clock 751: T3, server deadline:771
clock 752: TA28, server deadline:771
clock 753: TA28, server deadline:771
clock 754: TA28, server deadline:771
clock 755: TA28, server deadline:771
clock 756: TA28, server deadline:771
clock 757: TA28, server deadline:771
TA28 finishs: 208 ~ 758
Current total_response_time: 6225
clock 758: T8, server deadline:771
clock 759: T8, server deadline:771
clock 760: T8, server deadline:771
clock 761: T8, server deadline:771
clock 762: T8, server deadline:771
clock 763: T2, server deadline:771
clock 764: T2, server deadline:771
clock 765: T3, server deadline:771
clock 766: T3, server deadline:771
clock 767: T2, server deadline:771
clock 768: T2, server deadline:771
clock 769: T2, server deadline:771
clock 770: T2, server deadline:771
For TA29, New deadline: 771 + 50 = 821
clock 771: T2, server deadline:821
clock 772: T6, server deadline:821
clock 773: T6, server deadline:821
clock 774: T6, server deadline:821
clock 775: T6, server deadline:821
clock 776: TA29, server deadline:821
clock 777: TA29, server deadline:821
clock 778: TA29, server deadline:821
clock 779: TA29, server deadline:821
clock 780: T3, server deadline:821
clock 781: T3, server deadline:821
clock 782: TA29, server deadline:821
clock 783: TA29, server deadline:821
clock 784: TA29, server deadline:821
clock 785: TA29, server deadline:821
clock 786: TA29, server deadline:821
clock 787: TA29, server deadline:821
TA29 finishs: 208 ~ 788
Current total_response_time: 6805
clock 788: T7, server deadline:821
clock 789: T7, server deadline:821
clock 790: T7, server deadline:821
clock 791: T7, server deadline:821
clock 792: T7, server deadline:821
clock 793: T4, server deadline:821
clock 794: T4, server deadline:821
clock 795: T3, server deadline:821
clock 796: T3, server deadline:821
clock 797: T4, server deadline:821
clock 798: T4, server deadline:821
clock 799: T4, server deadline:821
clock 800: T4, server deadline:821
clock 801: T4, server deadline:821
clock 802: T4, server deadline:821
clock 803: T4, server deadline:821
clock 804: T4, server deadline:821
clock 805: T4, server deadline:821
clock 806: T4, server deadline:821
clock 807: T4, server deadline:821
clock 808: T4, server deadline:821
clock 809: T4, server deadline:821
clock 810: T3, server deadline:821
clock 811: T3, server deadline:821
clock 812: T4, server deadline:821
clock 813: T4, server deadline:821
clock 814: T4, server deadline:821
clock 815: T4, server deadline:821
clock 816: T6, server deadline:821
clock 817: T6, server deadline:821
clock 818: T6, server deadline:821
clock 819: T6, server deadline:821
clock 820: T4, server deadline:821
For TA30, New deadline: 821 + 30 = 851
clock 821: TA30, server deadline:851
